Tenor,MAE,MAPE,RMSE
6M,0.028890065008875757,1.1028140209447133,4.01781037759563
1Y,0.0059159684397067655,0.219973525737091,1.2769574360520275
2Y,0.006756611391462773,0.23681064605236093,0.9698870091358126
3Y,0.006713921506395051,0.22741534924983023,0.8474721579137944
4Y,0.008741702327534667,0.2903993762791856,0.9883640614317404
5Y,0.011574122433071479,0.37507016723159153,1.291793884202958
6Y,0.017237096610958062,0.5453480713290996,1.8647134015413112
7Y,0.02520906908759601,0.775412346610765,2.683488687479961
8Y,0.0229320672481587,0.7012529722027961,2.4750069002219104
9Y,0.022275947184669347,0.67459133575531,2.465691763210917
10Y,0.02201200539759006,0.6594195130281686,2.526535638196807
15Y,0.08286570282080936,2.292403880215171,8.539533565383525
20Y,0.1081142843002846,2.8439510323583734,11.554724455721288
30Y,0.16625149201001974,4.235772952795651,17.48329782586708
